Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform,Year
LAKE,"ANDHRA 
PRADESH",27,28,5.1,6.9,7.1,8.5,3270,156600,1,2.3,0.65,6.9,2,2,800,1600,2017
LAKE,"ANDHRA 
PRADESH",24,28,5.9,6.8,6.9,8.4,597,1034,1.3,2.3,1.16,3.36,11,29,350,2400,2017
LAKE,ASSAM,20,27,2.2,7.2,5.7,7.0,50,128,1,16.2,0.1,1.7,300,2000,360,6400,2017
LAKE,ASSAM,22,36,5.1,6,6.6,7.8,54,153,0.9,2.8,0.1,1.4,300,1200,300,5300,2017
POND,ASSAM,22,34,0.7,4.6,6.8,8.4,263,972,4.5,14.7,0.8,5.7,1100,3500,730,21000,2017
POND,ASSAM,20,35,3.5,6.8,6.1,7.3,26,235,2.2,18.1,0.5,1.9,300,2100,360,29000,2017
POND,ASSAM,18,31,5,7.3,5.8,7.6,25,38,2,3.2,0.1,2.5,360,1500,300,15000,2017
POND,ASSAM,20,32,5.2,8.1,5.6,7.8,23,38,1.9,4.1,0.1,1.7,360,2800,360,21000,2017
POND,ASSAM,21,32,5.1,6.5,6.7,7.4,45,81,1.1,4.8,0.1,1.9,300,1500,300,4400,2017
POND,ASSAM,22,30,7.2,8.3,7.1,9.1,195,264,3.8,12.7,0.9,3.4,300,720,300,4400,2017
POND,ASSAM,20,30,7.4,9.2,6.8,7.8,64,92,2.8,6.2,0.2,1.2,360,2000,360,3600,2017
POND,ASSAM,20,31,7,8.3,7.2,8.8,26,246,4.5,18.8,0.7,2.1,300,910,360,1500,2017
POND,ASSAM,23,38,2.6,8,6.1,7.2,26,44,3.3,18.9,0.2,1.3,300,2000,910,4400,2017
POND,ASSAM,23,34,1.2,5.9,5.9,7.8,8,79,1.2,4.8,0.5,1.7,300,2100,910,29000,2017
POND,ASSAM,23,32,6.4,10.5,7.7,9.2,153,220,3,15.5,0.8,2.9,300,1500,360,4400,2017
POND,ASSAM,19,31,3.7,9.9,6.7,7.9,282,417,2.8,6.2,1.6,3,700,21000,360,240000,2017
POND,ASSAM,21,31,4.5,12.4,6.2,9.6,122,313,2.4,7.2,0.7,18.72,300,2000,730,3600,2017
POND,ASSAM,22,34,1.9,15.1,6.6,8.5,190,237,4.2,14.2,0.7,1.8,300,1500,910,21000,2017
POND,ASSAM,22,34,5.2,8.5,5.5,7.3,26,48,1.6,2.9,0.7,4.5,300,730,360,2700,2017
POND,ASSAM,23,35,3.9,10.8,6.7,7.8,50,176,2.2,4.8,0.3,1.4,300,2700,300,12000,2017
POND,ASSAM,23,36,4.5,5.7,6.1,7.9,24,28,1,7.6,0.1,1.4,300,730,360,2400,2017
POND,ASSAM,22,35,4.7,5.9,6.4,7.6,27,58,1.4,6.1,1,4.1,300,3500,360,4400,2017
POND,ASSAM,23,36,4.6,5.7,6.7,7.4,31,94,1.1,7.9,0.8,5.1,300,2000,360,15000,2017
POND,ASSAM,22,27,4.7,5.8,6.7,7.6,63,136,2.8,8.1,0.2,1.4,300,1500,300,110000,2017
POND,ASSAM,17,32,5.3,6.7,6.1,8.1,24,42,1.7,4.2,0.1,1.1,300,2000,360,24000,2017
POND,ASSAM,17,32,4.7,7.3,6.6,7.6,17,206,1.5,4.8,0.3,2.1,360,1100,360,7500,2017
POND,ASSAM,20,29,5.3,9,6.2,7.3,32,395,1.6,3,0.1,2.3,360,1100,360,21000,2017
POND,ASSAM,21,31,4.5,7,6.4,7.5,26,77,2.2,3,1.1,1.8,300,360,360,1500,2017
POND,ASSAM,24,31.5,4,7.3,6.8,7.6,280,321,3.4,6.6,0.8,3.1,300,3600,910,29000,2017
POND,ASSAM,20,27,4,4.8,7.1,7.2,136,165,3,4.1,0.3,1.6,360,1400,360,2800,2017
TANK,ASSAM,18,31,5.2,7.2,5.9,7.8,21,36,1.4,3,0.1,1.8,300,620,360,2000,2017
LAKE,BIHAR,19,32,5.4,8,7.2,7.9,222,325,2.1,2.8,0,0,7000,26000,15000,38000,2017
LAKE,BIHAR,18,34,6.2,7.9,7,8.0,275,1190,2.1,2.8,0,0,2100,14000,3100,24000,2017
POND,BIHAR,18,34,6.2,9.5,7.1,8.1,340,748,2.6,3.2,0,0,1700,27000,3900,40000,2017
POND,BIHAR,18,33,6.4,9.8,7.4,8.2,308,600,2.3,3,0,0,1700,21000,2700,32000,2017
LAKE,CHANDIGARH,14,32,5.1,9.7,6.7,9.1,137,244,3,203,0.28,5.2,2,210000,2,540000,2017
LAKE,GOA,26,35,6.1,8.3,6.3,7.6,42,337,0,1.5,0,0.16,8,7900,2,13000,2017
LAKE,GOA,26.5,33,4.4,8.8,5.2,7.4,38,77,0.5,2.2,0,0.83,220,4900,260,9200,2017
LAKE,GOA,27,32.5,6.1,9.1,6.2,7.9,43,100,0.4,2,0.01,0.42,8,130,2,540,2017
LAKE,GOA,25.3,35,1.9,7.5,6.3,8.0,98,324,0.6,6,0.03,2.43,780,7900,1100,11000,2017
LAKE,GOA,23.3,33,2.8,8.5,6.4,7.7,63,235,1,5.1,0,1.24,110,7900,140,22000,2017
LAKE,GOA,26.5,38,4.7,9.2,6,7.6,72,417,1,9.9,0,0.19,200,24000,450,35000,2017
LAKE,GOA,26,31.5,0,7.8,6.4,7.8,289,380,1.1,12,0,11.57,35000,54000,54000,92000,2017
LAKE,GOA,26,38,1.5,11,5,7.3,78,594,0.9,10.4,0,1.48,130,7900,230,13000,2017
LAKE,GUJARAT,25,39,4.2,11.6,8.4,9.1,2308,3479,30,87,0.19,0.41,9,48,48,540,2017
LAKE,GUJARAT,25,30,2.6,8.1,7.5,8.8,349,543,5,31,0.09,0.51,5,94,58,540,2017
LAKE,GUJARAT,22,30,7.6,8.9,7.2,8.5,223,350,0.2,0.9,0.04,0.9,2,4,4,21,2017
LAKE,GUJARAT,25,32,1.6,5.5,6.7,8.0,2630,3720,0.8,2.5,0.08,1.1,4,26,11,63,2017
LAKE,GUJARAT,26,30,5,9.3,7.7,9.4,298,26580,5,105,0.1,0.39,5,40,21,110,2017
LAKE,GUJARAT,21,38,3.4,9,7.3,8.3,146,2991,4.1,540,0.03,6.48,4,49,9,84,2017
LAKE,GUJARAT,22,29,4.1,7.2,6.6,8.8,420,860,4.1,10.8,0.01,0.38,2,9,2,24,2017
LAKE,GUJARAT,22,26,3.8,36,6.7,8.0,360,1980,3.1,108,0,0.36,7,8,14,22,2017
LAKE,GUJARAT,23,35,2.5,8.7,8.5,9.8,619,15521,1.9,87,0.24,8.2,4,26,21,63,2017
LAKE,GUJARAT,29,30,4.1,7.2,7.7,8.5,122,124,0.4,1.1,0,0.56,4,4,11,21,2017
LAKE,GUJARAT,26,31,5.2,9.2,7.5,8.3,226,450,1.5,2.7,0.04,0.08,2,7,2,33,2017
LAKE,GUJARAT,26,31,7,7.9,7.7,8.9,229,1770,1,1.2,0.06,0.27,8,23,26,49,2017
LAKE,GUJARAT,27,33,6.1,7.4,7.3,8.2,300,476,1,1.9,0,0.92,12,79,38,120,2017
LAKE,GUJARAT,24,28,5.7,7.7,7,8.0,209,1190,1.1,4.8,0,0.17,7,7,14,14,2017
LAKE,GUJARAT,24,36,5.3,7.8,7.4,8.2,344,2370,0.7,3.7,0.07,0.62,2,2,2,2,2017
LAKE,GUJARAT,24,37,2,20,7.3,8.2,325,621,0.7,2.7,0.04,0.86,4,26,11,70,2017
LAKE,GUJARAT,24,33,1.2,6.4,7,8.2,457,3200,0.7,11,0.71,11.8,4,9,7,24,2017
LAKE,GUJARAT,27,30,0.5,9.7,8.4,9.1,1884,12150,21,124,0.18,0.53,11,43,43,220,2017
LAKE,GUJARAT,26,30,1.6,9.5,8.6,9.1,2354,3102,17,57,0.18,0.35,7,25,26,170,2017
LAKE,GUJARAT,26,30,2.1,5.2,7.4,8.7,190,1268,1.2,8,0,0.58,2,17,11,50,2017
POND,GUJARAT,25,34,5.1,7,7.1,8.1,360,1073,1.1,2,0.01,0.11,26,48,94,177,2017
POND,GUJARAT,24,32,6,7.4,4.6,8.2,326,552,0.9,2.3,0.03,0.09,17,542,41,542,2017
TANK,GUJARAT,26,30,4.2,10,7.4,8.3,221,422,6,29,0.05,80,2,70,11,170,2017
LAKE,"HIMACHAL 
PRADESH",10,24,7.5,10.1,7.7,8.3,176,572,0.2,0.4,0.1,0.96,27,120,220,920,2017
LAKE,"HIMACHAL 
PRADESH",13.5,20,6.3,8.5,7.4,8.4,172,352,0.1,0.8,0.04,1.45,5,13,170,280,2017
LAKE,"HIMACHAL 
PRADESH",13,24,5.3,7.7,6.4,8.0,719,886,1.2,2.6,0.24,0.75,21,91,33,63,2017
LAKE,"HIMACHAL 
PRADESH",12,30,4.5,9.8,7.2,8.2,190,288,2,22,0,1.79,94,210,540,1600,2017
LAKE,"HIMACHAL 
PRADESH",7.9,15.1,5.9,6.3,6.8,7.7,69,133,2.8,8,0,1.53,17,38,540,950,2017
LAKE,KARNATAKA,28,36,4.2,9.8,7.4,9.3,410,666,3,8,0.55,2,330,79000,1090,542000,2017
LAKE,KARNATAKA,23,27,4,6.4,7.6,8.4,496,1596,2,5.7,0.24,5.8,330,1700,2100,6300,2017
LAKE,KARNATAKA,21,32,2.8,5,6.4,9.2,1203,2540,6.5,24.8,0.1,1.38,1100,2600,4700,7000,2017
LAKE,KARNATAKA,24,32,5.2,7.5,7.4,9.5,526,950,4,9,0.2,0.68,920,1700,4600,6300,2017
LAKE,KARNATAKA,24,30,1.1,3.2,7,8.6,754,1174,10.4,24,0.13,4.2,1700,4300,6300,8400,2017
LAKE,KARNATAKA,25,34,1.2,3.4,7.2,8.6,733,1241,10.6,24.6,0.3,3.54,1700,2700,6300,8400,2017
LAKE,KARNATAKA,24,32,3.3,5.8,7.5,9.5,310,1334,4.2,15.6,0.15,0.63,930,2300,4700,6300,2017
LAKE,KARNATAKA,24,32,4,6.2,7.9,9.2,469,1109,4,10.8,0.24,0.6,920,2100,4600,6300,2017
LAKE,KARNATAKA,21,26,4.2,7.7,6.8,7.3,282,600,4,5,0.7,7.49,210,4900,1720,22100,2017
LAKE,KARNATAKA,21,35,0.7,8,6.5,8.0,250,664,2,25,0.31,4.57,790,490000,3480,1090000,2017
LAKE,KARNATAKA,27,36,4.2,9.8,6.9,9.3,330,666,3,8,0.41,2,270,79000,1090,542000,2017
LAKE,KARNATAKA,25,34,1,7,6.6,7.5,1417,4960,6.6,62,2.7,11,11000,330000,109000,3480000,2017
LAKE,KARNATAKA,27,29,0.6,6.9,6.7,7.2,552,1406,4,45,1,4.9,70000,17200000,141000,54200000,2017
LAKE,KARNATAKA,28,33,1.8,4.9,6.8,10.9,644,1894,4,45,1.1,10,79000,3480000,348000,17200000,2017
LAKE,KARNATAKA,26,32,3.1,4.9,7,8.2,889,2210,8,42,0.85,4.4,2200,1300000,14100,3480000,2017
LAKE,KARNATAKA,27,29,4.1,6.8,7.2,9.0,582,1025,2,12,0.76,2.2,330,490000,3480,1410000,2017
LAKE,KARNATAKA,27,29,4.9,6.6,7.2,8.8,576,1528,2,11,0.6,2.4,490,210000,3480,1750000,2017
LAKE,KARNATAKA,27,30,1,6.9,7,7.8,598,1719,4.5,12,1,15,2700,790000,34800,5420000,2017
LAKE,KARNATAKA,27,29,1.1,6.9,7,8.4,643,1727,5,11.6,1,2.3,1400,1720000,17200,5420000,2017
LAKE,KARNATAKA,28,30,2.7,6.5,6.8,8.4,251,1313,3.9,21,0.84,9.9,3300,330000,10900,1090000,2017
